Briar;3;2
Brice;1;10
Bridger;1;2
Bridget;2;2
Briella;2;2
Brielle;2;2
Brigham;1;2
Brigida;2;1
Brigitta;2;5
Brigitte;2;12
Briscoe;1;2
Bristol;1;2
Britannia;2;2
Britney;2;2
Brittany;2;2
Britton;1;2
Brock;1;2
Brody;1;2
Bronte;3;2
Brooke;2;2
Brooklyn;2;2
Bruce;1;2
Bruna;2;1
Brunella;2;1
Brunhilde;2;4
Brunilda;2;1
Bruno;1;13
Bryanne;2;2
Bryant;1;2
Brynne;2;2
Bryony;2;2
Bryson;1;2
Buck;1;2
Bud;1;2
Buddy;1;2
Buffy;2;2
Bunny;2;2
Burchard;1;4
Burgundy;2;2
Burke;1;2
Burkhard;1;4
Burkhart;1;4
Burt;1;2
Burton;1;2
Buster;1;2
Byrne;1;2
Byron;1;2
Bysshe;1;2
Cäcilia;2;4
Cäcilie;2;4
Cade;1;2
Caden;1;2
Cadence;2;2
Caelan;3;2
Cairo;1;2
Caitlin;2;2
Cal;1;2
Calanthe;2;2
Calanthia;2;2
Cale;1;2
Caleb;1;2
Calista;2;2
Calixte;1;8
Calla;2;2
Callahan;1;2
Callie;2;2
Callisto;1;1
Calogera;2;1
Calogero;1;1
Calvin;1;2
Camden;1;2
Camellia;2;2
Cameron;3;2
Camilla;2;3
Camille;3;10
Camillo;1;1
Cammie;2;2
Candace;2;2
Candida;2;3
Candy;2;2
Caprice;2;2
Capricia;2;2
Capucine;2;8
Cara;2;6
Carey;3;2
Carina;2;7
Carine;2;8
Carl;1;6
Carla;2;7
Carlene;2;2
Carley;2;2
Carlie;2;2
Carlisa;2;2
Carlisle;1;2
Carlo;1;1
Carlotta;2;1
Carly;2;2
Carmel;2;2
Carmela;2;1
Carmella;2;2
Carmelo;1;1
Carmen;2;3
Carmina;2;1
Carmine;1;1
Carol;3;2
Carola;2;5
Carole;2;8
Carolin;2;4
Carolina;2;1
Caroline;2;14
Carran;1;2
Carreen;2;2
Carrie;2;2
Carry;2;2
Carson;3;2
Carsten;1;4
Carter;1;2
Carver;1;2
Casey;3;2
Cash;1;2
Casimir;1;14
Casimiro;1;1
Cassandra;2;15
Cassarah;2;2
Cassidy;3;2
Cassius;1;2
Catarina;2;1
Caterina;2;1
Catherine;2;14
Cecil;1;2
Cécile;2;8
Cecilia;2;7
Cecilio;1;1
Cecily;2;2
Cedar;2;2
Cedric;1;2
Celandine;2;2
Celeste;3;3
Céleste;3;8
Célestin;1;8
Celestina;2;1
Celestine;3;2
Célestine;2;8
Celestino;1;1
Celia;2;3
Celinda;2;2
Céline;2;8
Celino;1;1
Celio;1;1
Celso;1;1
Cerise;2;8
Césaire;1;8
César;1;8
Cesare;1;1
Cesarina;2;1
Cesarino;1;1
Chad;1;2
Chadwick;1;2
Chalice;2;2
Chance;1;2
Chandler;1;2
Chanel;2;2
Channing;3;2
Chantal;2;10
Charis;2;2
Charisma;2;2
Charissa;2;2
Charisse;2;2
Charity;2;2
Charla;2;2
Charlene;2;2
Charles;1;10
Charlie;3;2
Charline;2;8
Charlot;1;8
Charlotte;2;14
Charlton;1;2
Charmaine;2;2
Charmian;2;2
Charnette;2;2
Chas;1;2
Chase;1;2
Chastity;2;2
Chauncey;1;2
Chaz;1;2
Chelle;2;2
Chelsea;2;2
Cher;2;2
Cherette;2;2
Cherie;2;2
Cherilyn;2;2
Cherish;2;2
Cherokee;3;2
Cherry;2;2
Cheryl;2;2
Chesley;1;2
Chester;1;2
Chet;1;2
Cheyenne;3;2
Chiara;2;1
Chiarina;2;1
China;2;2
Chip;1;2
Chloe;2;2
Chloé;2;8
Chris;3;2
Chrissie;2;2
Chrissy;2;2
Christa;2;6
Christabel;2;2
Christel;2;4
Christelle;2;8
Christi;2;2
Christian;1;15
Christiane;2;12
Christie;2;2
Christin;2;4
Christina;2;6
Christine;2;14
Christmas;3;2
Christoph;1;4
Christophe;1;8
Christopher;1;2
Christy;2;2
Chrysanta;2;2
Chuck;1;2
Cindra;2;2
Cindy;2;2
Cinzia;2;1
Cipriano;1;1
Ciriaco;1;1
Cirillo;1;1
Cirino;1;1
Ciro;1;1
Claire;2;10
Clancy;1;2
Clara;2;7
Clarence;1;2
Claretta;2;1
Clarette;2;2
Claribel;2;2
Clarice;2;2
Clarinda;2;2
Clarissa;2;3
Clarisse;2;8
Clarity;2;2
Clark;1;2
Claude;3;10
Claudette;2;8
Claudia;2;7
Claudie;2;8
Claudine;2;8
Claudio;1;1
Claus;1;4
Clay;1;2
Clayton;1;2
Clelia;2;1
Clem;1;2
Clematis;2;2
Clemence;2;2
Clémence;2;8
Clemens;1;4
Clement;1;2
Clément;1;8
Clemente;1;1
Clementina;2;1
Clementine;2;8
Cleo;2;2
Cleto;1;1
Cletus;1;2
Cleve;1;2
Cleveland;1;2
Cliff;1;2
Clifford;1;2
Clifton;1;2
Clint;1;2
Clinton;1;2
Clio;2;1
Clive;1;2
Cloé;2;8
Clothilde;2;8
Clotilda;2;2
Clotilde;2;8
Clover;2;2
Clovis;1;8
Clyde;1;2
Coby;3;2
Cody;1;2
Cohen;1;2
Colbert;1;2
Colby;1;2
Cole;1;2
Coleman;1;2
Colette;2;8
Colin;1;2
Coline;2;8
Colleen;2;2
Colomba;2;1
Colombano;1;1
Colombe;2;8
Colombina;2;1
Colombo;1;1
Colton;1;2
Columbine;2;2
Côme;1;8
Comfort;2;2
Concetta;2;1
Concettina;2;1
Concetto;1;1
Connell;1;2
Connie;3;2
Conor;1;2
Conrad;1;6
Consolata;2;1
Constance;2;10
Constant;1;10
Constantin;1;8
Constanze;2;4
Conway;1;2
Cooper;1;2
Cora;2;6
Coral;2;2
Coralie;2;8
Corbin;1;2
Corbinian;1;4
Cordelia;2;2
Cordell;1;2
Corentin;1;8
Coretta;2;2
Corey;1;2
Cori;2;2
Coriander;2;2
Corin;1;8
Corinna;2;6
Corinne;2;10
Cornelia;2;7
Cornélie;2;8
Cornelio;1;1
Cornelius;1;6
Cornell;1;2
Corradino;1;1
Corrado;1;1
Corrie;2;2
Corwin;1;2
Cosette;2;8
Cosima;2;1
Cosimo;1;1
Cosma;1;1
Cosme;1;8
Cosmo;1;2
Costantino;1;1
Costanzo;1;1
Courtney;3;2
Craig;1;2
Crawford;1;2
Cree;1;2
Creighton;1;2
Crescentia;2;4
Crescenzo;1;1
Crispin;1;2
Cristian;1;1
Cristiana;2;1
Cristiano;1;1
Cristina;2;1
Cristoforo;1;1
Crocetta;2;1
Crocifissa;2;1
Crofton;1;2
Crystal;2;2
Cullen;1;2
Cunégonde;2;8
Curtis;1;2
Cuthbert;1;2
Cyan;2;2
Cynthia;2;2
Cyrielle;2;8
Cyril;1;10
Cyrilla;2;2
Cyrille;3;8
Cyrus;1;2
Dacre;1;2
Daffodil;2;2
Dafne;2;1
Dagmar;2;4
Dahlia;2;2
Daisy;2;2
Dakota;3;2
Dale;3;2
Daley;1;2
Dallas;1;2
Dalton;1;2
Damian;1;2
Damiana;2;1
Damiano;1;1
Damien;1;8
Damon;1;2
Dan;1;2
Dana;3;6
Danette;2;2
Dani;2;2
Danica;2;2
Daniel;1;14
Daniela;2;5
Daniele;1;1
Danièle;2;8
Danielle;2;10
Danilo;1;1
Danita;2;2
Danni;1;2
Danny;1;2
Dante;1;1
Daphne;2;2
Daphné;2;8
Darby;3;2
Darcy;3;2
Darden;1;2
Daria;2;3
Darian;3;2
Dario;1;1
Darius;1;2
Darla;2;2
Darlene;2;2
Darnell;1;2
Darrell;1;2
Darren;1;2
Darwin;1;2
Dashiell;1;2
Dave;1;2
David;1;15
Davide;1;1
Davin;1;2
Davina;2;2
Davis;1;2
Dawn;2;2
Dawson;1;2
Dax;1;2
Dayton;1;2
Deacon;1;2
Dean;1;2
Deanna;2;2
Deb;2;2
Debbie;2;2
Debby;2;2
Debora;2;5
Débora;2;8
Deborah;2;7
Dee;3;2
Deemer;1;2
Deforest;1;2
Deirdre;2;2
Delaney;2;2
Delano;1;2
Delbert;1;2
Delfina;2;1
Delia;2;3
Délia;2;8
Delicia;2;2
Delight;2;2
Delilah;2;2
Dell;3;2
Della;2;2
Delma;2;2
Delmar;1;2
Delora;2;2
Delphia;2;2
Delphine;2;8
Delroy;1;2
Delta;2;2
Demelza;2;2
Demetrio;1;1
Den;1;2
Dena;2;2
Denholm;1;2
Denis;1;15
Denise;2;11
Dennis;1;15
Denny;1;15
Denton;1;2
Denver;1;2
Denzel;1;2
Déodat;1;8
Derek;1;2
Des;1;2
Desideria;2;1
Desiderio;1;1
Désiré;1;8
Desiree;2;2
Désirée;2;8
Desmond;1;2
Destiny;2;2
Detta;2;2
Devereux;1;2
Devin;3;2
Dex;1;2
Dexter;1;2
Dezi;1;2
Diamond;2;2
Diana;2;7
Diane;2;10
Diantha;2;2
Dick;1;2
Didier;1;8
Dieter;1;4
Dietfried;1;4
Diethelm;1;4
Dietlinde;2;4
Dietmar;1;4
Dietrich;1;4
Dieudonné;1;8
Dieudonnée;2;8
Digby;1;2
Diggory;1;2
Dillon;1;2
Dimitri;1;8
Dina;2;3
Dinah;2;2
Dino;1;1
Diodore;1;8
Dion;1;2
Dione;2;2
Dionisio;1;1
Dionne;2;2
Dirk;1;6
Divina;2;2
Dixie;2;2
Dixon;1;2
Docia;2;2
Dodie;2;2
Dolly;2;2
Dolores;2;2
Dolph;1;2
Dom;1;2
Domenica;2;1
Domenico;1;1
Dominic;1;2
Dominica;2;2
Dominik;1;4
Dominique;3;8
Domitilla;2;1
Domitille;2;8
Don;1;2
Donald;1;2
Donat;1;8
Donata;2;1
Donatella;2;1
Donatello;1;1
Donatien;1;8
Donatienne;2;8
Donato;1;1
Donelle;2;2
Donna;2;2
Donnie;1;2
Donovan;1;2
Dora;2;3
Doreen;2;2
Doretta;2;2
Doria;2;2
Dorian;1;10
Doriane;2;8
Doriano;1;1
Dorinda;2;2
Doris;2;6
Dorita;2;2
Dorotea;2;1
Dorothea;2;6
Dorothée;2;8
Dorothy;2;2
Dot;2;2
Dottie;2;2
Dotty;2;2
Doug;1;2
Douglas;1;2
Dove;2;2
Drake;1;2
Dre;1;2
Drea;2;2
Drew;1;2
Drina;2;2
Driscoll;1;2
Drummond;1;2
Duane;1;2
Dudley;1;2
Duilio;1;1
Duke;1;2
Dulcie;2;2
Duncan;1;2
Dunstan;1;2
Durante;1;1
Durward;1;2
Dustin;1;2
Dusty;3;2
Dutch;1;2
Dwayne;1;2
Dwight;1;2
Dylan;1;2
Dyson;1;2
Earl;1;2
Earleen;2;2
Earlene;2;2
Earline;2;2
Eartha;2;2
Easter;2;2
Easton;1;2
Ebba;2;6
Ebbe;1;4
Eben;1;2
Eberhard;1;4
Ebony;2;2
Eckart;1;4
Eckbert;1;4
Eckehard;1;4
Eckhard;1;4
Eckhart;1;4
Ed;1;2
Edda;2;1
Eddie;1;2
Eddy;1;2
Eden;3;2
Edgar;1;10
Edgard;1;8
Edison;1;2
Edith;2;6
Édith;2;8
Edmée;2;8
Edmond;1;8
Edmonda;2;1
Edmondo;1;1
Edmund;1;6
Edna;2;3
Edoardo;1;1
Édouard;1;8
Edric;1;2
Eduard;1;4
Edvige;2;1
Edward;1;2
Edwige;2;8
Edwin;1;2
Edwina;2;2
Edytha;2;2
Efisio;1;1
Egbert;1;2
Egidio;1;1
Eglantine;2;2
Egon;1;4
Eileen;2;2
Eireann;2;2
Ekkehard;1;4
Ekkehardt;1;4
Elaine;2;2
Elda;2;1
Eldon;1;2
Eldred;1;2
Elea;2;2
Eleanor;2;2
Elena;2;5
Eleonor;2;2
Eleonora;2;5
Eleonore;2;4
Eléonore;2;8
Elettra;2;1
Eleuterio;1;1
Elfreda;2;2
Elfriede;2;4
Eli;1;2
Elia;1;1
Eliana;2;1
Éliane;2;8
Elias;1;6
Élie;1;8
Eligio;1;1
Elijah;1;2
Elio;1;1
Eliott;1;2
Elisa;2;7
Elisabeth;2;6
Élisabeth;2;8
Elisabetta;2;1
Elise;2;6
Élise;2;8
Eliseo;1;1
