Marcello,1,1,0,Marcellino
Marco,1,1,0,
Margherita,2,1,0,
Maria,3,3,0,
Mariangela,2,1,0,
Marianna,2,3,0,
Mariano,1,1,0,
Marica,2,1,0,Marika
Marida,2,1,0,
Mariella,2,1,0,
Marietta,2,1,0,
Marilena,2,1,0,
Marina,2,1,0,
Marinella,2,1,0,
Marino,1,1,0,
Mario,1,1,0,
Marisa,2,3,0,
Maristella,2,1,0,
Marta,2,1,0,
Martina,2,3,0,
Martino,1,1,0,
Marzia,2,1,0,
Marzio,1,1,0,
Massimiliano,1,1,0,Max
Massimo,1,1,0,Max
Matilde,2,1,0,
Matteo,1,1,0,
Mattia,1,1,0,
Maura,2,1,0,
Maurizio,1,1,0,
Mauro,1,1,0,
Melania,2,1,0,
Melchiorre,1,1,0,
Michela,2,1,0,Micaela Michelina
Michelangela,2,1,0,
Michelangelo,1,1,0,
Michele,1,1,0,
Milena,2,1,0,
Mirabella,2,1,0,
Mirella,2,1,0,
Modesto,1,1,0,
Monica,2,3,0,Monika
Nadia,2,3,0,
Naldo,1,1,0,
Narcisa,2,1,0,
Narciso,1,1,0,
Natale,1,1,0,
Natalia,2,1,0,
Natanaele,1,1,0,
Nazario,1,1,0,
Nazzareno,1,1,0,Nazareno
Nella,2,1,0,
Nerea,2,1,0,
Nereo,1,1,0,
Nerina,2,1,0,
Nerio,1,1,0,
Nero,1,1,0,
Nestore,1,1,0,
Nevio,1,1,0,
Nico,1,1,0,
Nicodemo,1,1,0,
Nicola,1,1,0,
Nicoletta,2,1,0,
Nicolina,2,1,0,
Nicolò,1,1,0,Niccolò
Nicomede,1,1,0,
Nicostrato,1,1,0,
Nina,2,3,0,
Nino,1,1,0,
Nives,2,1,0,
Noemi,2,1,0,
Nora,2,3,0,
Norina,2,1,0,
Norma,2,3,0,
Nunzia,2,1,0,
Nunzio,1,1,0,
Oddo,1,1,0,
Ofelia,2,1,0,
Olimpia,2,1,0,
Olivia,2,3,0,
Oliviero,1,1,0,
Orazio,1,1,0,
Orfeo,1,1,0,
Oria,2,1,0,
Oriana,2,1,0,
Orlanda,2,1,0,
Orlando,1,1,0,
Ornella,2,1,0,
Orsina,2,1,0,
Orsino,1,1,0,
Orso,1,1,0,
Orsola,2,1,0,
Osanna,2,1,0,
Osvaldo,1,1,0,
Ottavia,2,1,0,
Ottaviano,1,1,0,
Ottavio,1,1,0,
Ottone,1,1,0,
Ottorino,1,1,0,
Ovidio,1,1,0,
Palmira,2,1,0,
Palmiro,1,1,0,
Pancrazio,1,1,0,
Panfilo,1,1,0,
Pantaleone,1,1,0,
Paola,2,1,0,Paolina
Paolo,1,1,0,Paolino
Paride,1,1,0,
Pasquale,1,1,0,Pasqualino
Pasqualina,2,1,0,
Patrizia,2,1,0,
Patrizio,1,1,0,
Pellegrino,1,1,0,
Peppi,1,1,0,
Perla,2,1,0,
Perlita,2,1,0,
Petronilla,2,1,0,
Pia,2,1,0,
Piera,2,1,0,Pierina
Piero,1,1,0,
Pietra,2,1,0,Pietrina
Pietro,1,1,0,
Pina,2,1,0,
Pino,1,1,0,
Pio,1,1,0,
Placida,2,1,0,
Placido,1,1,0,
Plinio,1,1,0,
Pompeo,1,1,0,
Ponzio,1,1,0,
Porfirio,1,1,0,
Primo,1,1,0,
Priscilla,2,3,0,
Prospero,1,1,0,
Prudenzio,1,1,0,
Quirino,1,1,0,
Rachele,2,1,0,
Raffaele,1,1,0,
Raffaella,2,1,0,
Raffaello,1,1,0,
Raimonda,2,1,0,
Raimondo,1,1,0,
Raniero,1,1,0,
Raul,1,1,0,Raoul
Rebecca,2,3,0,
Regina,2,3,0,
Remigio,1,1,0,
Remo,1,1,0,
Renata,2,1,0,
Renato,1,1,0,
Renzo,1,1,0,
Riccarda,2,1,0,
Riccardo,1,1,0,
Rico,1,1,0,
Rina,2,1,0,
Rinaldo,1,1,0,
Rino,1,1,0,
Rita,2,3,0,
Roberta,2,3,0,Robertina
Roberto,1,1,0,
Rocco,1,1,0,
Rodolfo,1,1,0,
Rodrigo,1,1,0,
Rolando,1,1,0,
Romana,2,1,0,
Romano,1,1,0,
